ds,unique_id,y
2007-03-01,Leisure and Hospitality,12987
2007-04-01,Leisure and Hospitality,13260
2007-05-01,Leisure and Hospitality,13630
2007-06-01,Leisure and Hospitality,14012
2007-07-01,Leisure and Hospitality,14092
2007-08-01,Leisure and Hospitality,14045
2007-09-01,Leisure and Hospitality,13637
2007-10-01,Leisure and Hospitality,13441
2007-11-01,Leisure and Hospitality,13278
2007-12-01,Leisure and Hospitality,13244
2008-01-01,Leisure and Hospitality,12905
2008-02-01,Leisure and Hospitality,12971
2008-03-01,Leisure and Hospitality,13156
2008-04-01,Leisure and Hospitality,13396
2008-05-01,Leisure and Hospitality,13709
2008-06-01,Leisure and Hospitality,14052
2008-07-01,Leisure and Hospitality,14129
2008-08-01,Leisure and Hospitality,14056
2008-09-01,Leisure and Hospitality,13563
2008-10-01,Leisure and Hospitality,13300
2008-11-01,Leisure and Hospitality,13040
2008-12-01,Leisure and Hospitality,12959
2009-01-01,Leisure and Hospitality,12607
2009-02-01,Leisure and Hospitality,12616
2009-03-01,Leisure and Hospitality,12748
2009-04-01,Leisure and Hospitality,12977
2009-05-01,Leisure and Hospitality,13337
2009-06-01,Leisure and Hospitality,13656
2009-07-01,Leisure and Hospitality,13746
2009-08-01,Leisure and Hospitality,13675
2009-09-01,Leisure and Hospitality,13245
2009-10-01,Leisure and Hospitality,12956
2009-11-01,Leisure and Hospitality,12735
2009-12-01,Leisure and Hospitality,12631
2010-01-01,Leisure and Hospitality,12315
2010-02-01,Leisure and Hospitality,12359
2010-03-01,Leisure and Hospitality,12578
2010-04-01,Leisure and Hospitality,12915
2010-05-01,Leisure and Hospitality,13243
2010-06-01,Leisure and Hospitality,13616
2010-07-01,Leisure and Hospitality,13720
2010-08-01,Leisure and Hospitality,13712
2010-09-01,Leisure and Hospitality,13351
2010-10-01,Leisure and Hospitality,13085
2010-11-01,Leisure and Hospitality,12872
2010-12-01,Leisure and Hospitality,12818
2011-01-01,Leisure and Hospitality,12477
2011-02-01,Leisure and Hospitality,12614
2011-03-01,Leisure and Hospitality,12881
2011-04-01,Leisure and Hospitality,13233
2011-05-01,Leisure and Hospitality,13535
2011-06-01,Leisure and Hospitality,13947
2011-07-01,Leisure and Hospitality,14032
2011-08-01,Leisure and Hospitality,14023
2011-09-01,Leisure and Hospitality,13629
2011-10-01,Leisure and Hospitality,13418
2011-11-01,Leisure and Hospitality,13249
2011-12-01,Leisure and Hospitality,13195
2012-01-01,Leisure and Hospitality,12904
2012-02-01,Leisure and Hospitality,13038
2012-03-01,Leisure and Hospitality,13334
2012-04-01,Leisure and Hospitality,13626
2012-05-01,Leisure and Hospitality,13959
2012-06-01,Leisure and Hospitality,14329
2012-07-01,Leisure and Hospitality,14411
2012-08-01,Leisure and Hospitality,14434
2012-09-01,Leisure and Hospitality,14055
2012-10-01,Leisure and Hospitality,13838
2012-11-01,Leisure and Hospitality,13646
2012-12-01,Leisure and Hospitality,13646
2013-01-01,Leisure and Hospitality,13324
2013-02-01,Leisure and Hospitality,13470
2013-03-01,Leisure and Hospitality,13740
2013-04-01,Leisure and Hospitality,14074
2013-05-01,Leisure and Hospitality,14459
2013-06-01,Leisure and Hospitality,14881
2013-07-01,Leisure and Hospitality,14978
2013-08-01,Leisure and Hospitality,14961
2013-09-01,Leisure and Hospitality,14518
2013-10-01,Leisure and Hospitality,14346
2013-11-01,Leisure and Hospitality,14174
2013-12-01,Leisure and Hospitality,14124
2014-01-01,Leisure and Hospitality,13815
2014-02-01,Leisure and Hospitality,13908
2014-03-01,Leisure and Hospitality,14181
2014-04-01,Leisure and Hospitality,14524
2014-05-01,Leisure and Hospitality,14935
2014-06-01,Leisure and Hospitality,15333
2014-07-01,Leisure and Hospitality,15407
2014-08-01,Leisure and Hospitality,15365
2014-09-01,Leisure and Hospitality,14948
2014-10-01,Leisure and Hospitality,14787
2014-11-01,Leisure and Hospitality,14587
2014-12-01,Leisure and Hospitality,14563
2015-01-01,Leisure and Hospitality,14234
2015-02-01,Leisure and Hospitality,14374
2015-03-01,Leisure and Hospitality,14599
2015-04-01,Leisure and Hospitality,14947
2015-05-01,Leisure and Hospitality,15365
2015-06-01,Leisure and Hospitality,15768
2015-07-01,Leisure and Hospitality,15878
2015-08-01,Leisure and Hospitality,15845
2015-09-01,Leisure and Hospitality,15441
2015-10-01,Leisure and Hospitality,13763.7
2015-11-01,Leisure and Hospitality,13592.7
2015-12-01,Leisure and Hospitality,13569.300000000001
2016-01-01,Leisure and Hospitality,13272.300000000001
2016-02-01,Leisure and Hospitality,13400.1
2016-03-01,Leisure and Hospitality,13628.7
2016-04-01,Leisure and Hospitality,13932
2016-05-01,Leisure and Hospitality,14260.5
2016-06-01,Leisure and Hospitality,14688
2016-07-01,Leisure and Hospitality,14778.9
2016-08-01,Leisure and Hospitality,14744.7
2016-09-01,Leisure and Hospitality,14337
2016-10-01,Leisure and Hospitality,14148.9
2016-11-01,Leisure and Hospitality,13995
2016-12-01,Leisure and Hospitality,13940.1
2017-01-01,Leisure and Hospitality,13611.6
2017-02-01,Leisure and Hospitality,13754.7
2017-03-01,Leisure and Hospitality,13971.6
2017-04-01,Leisure and Hospitality,14298.300000000001
2017-05-01,Leisure and Hospitality,14656.5
2017-06-01,Leisure and Hospitality,15082.2
2017-07-01,Leisure and Hospitality,15197.4
2017-08-01,Leisure and Hospitality,15127.2
2017-09-01,Leisure and Hospitality,14603.4
2017-10-01,Leisure and Hospitality,14488.2
2017-11-01,Leisure and Hospitality,14287.5
2017-12-01,Leisure and Hospitality,14273.1
2018-01-01,Leisure and Hospitality,13893.300000000001
2018-02-01,Leisure and Hospitality,14029.2
2018-03-01,Leisure and Hospitality,14236.2
2018-04-01,Leisure and Hospitality,14518.800000000001
2018-05-01,Leisure and Hospitality,14896.800000000001
2018-06-01,Leisure and Hospitality,15345.9
2018-07-01,Leisure and Hospitality,15447.6
2018-08-01,Leisure and Hospitality,15386.4
2018-09-01,Leisure and Hospitality,14891.4
2018-10-01,Leisure and Hospitality,14761.800000000001
2018-11-01,Leisure and Hospitality,14563.800000000001
2018-12-01,Leisure and Hospitality,14591.7
2019-01-01,Leisure and Hospitality,14292
2019-02-01,Leisure and Hospitality,14397.300000000001
2019-03-01,Leisure and Hospitality,14634
2019-04-01,Leisure and Hospitality,14917.5
2019-05-01,Leisure and Hospitality,15264.9
2019-06-01,Leisure and Hospitality,15662.7
2019-07-01,Leisure and Hospitality,15716.7
2019-08-01,Leisure and Hospitality,15642
2019-09-01,Leisure and Hospitality,15184.800000000001
